run,house,traj,T,success,has_bar,behavior_class,protr_name,protr_wall,residual_margin,bar_face_y,obj_gap,min_near_overall,min_near_approach,min_near_pregrasp,max_nclose_approach,frac_approach_active,bow_approach_m,approach_contacts,held_contacts,object_name,target_uid
20260612_183855,house_145,traj_17,60,True,True,free,protr_s,left,0.004387853772025371,0.237612935514242,0.1708594641986405,0.03586390241980553,0.07519573718309402,0.10320264101028442,2,0.28125,0.00595503704353843,0.0,282.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_18,59,True,False,free,,,nan,,,0.03586390241980553,0.03586390241980553,0.03586390241980553,2,0.03225806451612903,0.005857645842753802,0.0,130.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_19,87,False,False,free,,,nan,,,0.04244624078273773,0.0686875581741333,0.06920275092124939,1,0.36363636363636365,0.00242089856153498,1.0,115.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_2,67,True,False,free,,,nan,,,0.1063411608338356,0.13701727986335754,0.18646451830863953,0,0.0,0.008134824657104146,0.0,241.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_20,136,True,True,deflect,protr_s,right,0.006401178987246903,0.22371266117895855,0.13951192372260654,0.04244624078273773,0.04244624078273773,0.04244624078273773,1,0.16666666666666666,0.06295306150547213,6.0,130.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_21,58,True,False,free,,,nan,,,0.08650891482830048,0.1214030459523201,0.13092683255672455,0,0.0,0.0020604123182464177,0.0,140.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_22,56,True,True,free,protr_l,right,-0.16883803570786943,0.16224565367614735,0.15834330315085002,0.08650891482830048,0.16810376942157745,0.17678940296173096,0,0.0,0.003030447032534969,0.0,226.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_23,87,True,True,free,protr_s,left,-0.021344958702463432,0.1596826890841518,0.19809776260257622,0.1001010611653328,0.1001010611653328,0.11778433620929718,0,0.0,0.009458414653392802,0.0,230.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_24,83,True,False,free,,,nan,,,0.08117136359214783,0.08117136359214783,0.13331669569015503,1,0.03333333333333333,0.00865267654531278,2.0,132.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_3,84,True,True,free,protr_s,left,-0.13023886443071642,0.1891513573438851,0.19649302631228585,0.10480694472789764,0.16773678362369537,0.18646490573883057,0,0.0,0.003991199995032906,0.0,81.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_4,60,False,False,free,,,nan,,,0.039861731231212616,0.039883896708488464,0.1148228645324707,1,0.11904761904761904,0.010945623602412424,5.0,0.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_5,61,True,False,free,,,nan,,,0.059022460132837296,0.06368882954120636,0.12573549151420593,1,0.09090909090909091,0.004590742823019516,0.0,155.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_6,95,True,True,deflect,protr_s,left,-0.028746448844905348,0.22544236877000318,0.18615041241110233,0.08296707272529602,0.08336074650287628,0.10673734545707703,1,0.08955223880597014,0.035823525857106915,1.0,296.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_7,123,False,True,deflect,protr_s,left,0.04698192425653126,0.22990689233170736,0.14180944752060326,0.03780873864889145,0.03780873864889145,0.03910776972770691,2,0.5652173913043478,0.01171494920518236,9.0,137.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_8,83,False,False,free,,,nan,,,0.04230592027306557,0.04807873070240021,0.04807873070240021,2,0.36666666666666664,0.0028409852001863353,0.0,107.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_145,traj_9,61,True,False,free,,,nan,,,0.020480770617723465,0.04275640472769737,0.04275640472769737,2,0.48484848484848486,0.003919433226151242,0.0,141.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_169,traj_0,54,True,False,free,,,nan,,,0.14078637957572937,0.1864628940820694,0.1864628940820694,0,0.0,0.00568928647170518,0.0,247.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_169,traj_1,90,True,True,free,protr_l,right,-0.08204025685469152,0.21994672694603074,0.1307806342047173,0.020388605073094368,0.020388605073094368,0.025032835081219673,2,0.43243243243243246,0.006249110337294246,1.0,184.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_169,traj_10,93,True,True,deflect,protr_m,left,-0.14986291049589098,0.179355362475497,0.183316469805425,0.071406289935112,0.07972858101129532,0.11178110539913177,1,0.046153846153846156,0.017976861266094473,0.0,238.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_169,traj_11,103,True,True,deflect,protr_l,left,-0.13516394330502673,0.17733852495473434,0.1272076417720783,0.020077962428331375,0.0240381620824337,0.024481909349560738,1,0.4189189189189189,0.044998400618293,0.0,298.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_169,traj_12,89,True,True,deflect,protr_m,left,-0.039319363034754515,0.20770919387270573,0.1392364480508115,0.08756360411643982,0.08756360411643982,0.08756360411643982,1,0.01639344262295082,0.03362833790272936,0.0,331.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_169,traj_13,110,True,True,deflect,protr_m,left,-0.12935751785836214,0.16132373354723792,0.1698859486205039,0.05621018260717392,0.09220930188894272,0.09621645510196686,1,0.10975609756097561,0.04030758765142509,9.0,251.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_169,traj_14,81,True,False,free,,,nan,,,0.09355903416872025,0.09355903416872025,0.09974734485149384,1,0.14285714285714285,0.0067233298089789595,2.0,191.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_169,traj_15,89,True,True,free,protr_l,right,-0.08863221077667534,0.18903593271103858,0.14387923027236973,0.1336430311203003,0.1336430311203003,0.1401197612285614,0,0.0,0.006590238002349492,0.0,176.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_169,traj_16,112,True,True,deflect,protr_m,right,-0.02453490026534838,0.23251925640880194,0.12361652402698516,0.020081955939531326,0.020081955939531326,0.020081955939531326,2,0.6071428571428571,0.07377094636933511,30.0,204.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
