time_s,contact_count,normal_force_N,arm_tracking_error_rad
1.238,0,0,0.032611625593522965
1.24,0,0,0.03264628369576239
1.242,0,0,0.032679580598351674
1.244,0,0,0.03271151278778064
1.246,0,0,0.032742076827360744
1.248,0,0,0.03277126935578386
1.25,0,0,0.03279908708571498
1.252,0,0,0.03282552680241221
1.254,0,0,0.03285058536237908
1.256,0,0,0.032874259692043224
1.258,0,0,0.03289654678646456
1.26,0,0,0.03291744370807234
1.262,0,0,0.032936947585427805
1.264,0,0,0.03295505561201627
1.266,0,0,0.032971765045064
1.268,0,0,0.032987073204382704
1.27,0,0,0.03300097747123769
1.272,0,0,0.03301347528724491
1.274,0,0,0.033024564153288104
1.276,0,0,0.03303424162846476
1.278,0,0,0.033042505329055095
1.28,0,0,0.03304935292751328
1.282,0,0,0.0330547821514831
1.284,0,0,0.03305879078283769
1.286,0,0,0.03306137665673989
1.288,0,0,0.0330625376607265
1.29,0,0,0.03306227173381526
1.292,0,0,0.033060576865630194
1.294,0,0,0.03305745109555232
1.296,0,0,0.033052892511889614
1.298,0,0,0.033046899251067345
1.3,0,0,0.03303946949684038
1.302,0,0,0.033030601479525135
1.304,0,0,0.03302029347525039
1.306,0,0,0.03300854380523025
1.308,0,0,0.03299535083505518
1.31,0,0,0.032980712974002756
1.312,0,0,0.03296462867436672
1.314,0,0,0.03294709643080683
1.316,0,0,0.03292811477971568
1.318,0,0,0.032907682298605107
1.32,0,0,0.032885797605511004
1.322,0,0,0.032862459358414794
1.324,0,0,0.03283766625468601
1.326,0,0,0.03281141703053924
1.328,0,0,0.03278371046051301
1.33,0,0,0.0327545453569618
1.332,0,0,0.0327239205695692
1.334,0,0,0.032691834984877516
1.336,0,0,0.032658287525835016
1.338,0,0,0.032623277151358154
1.34,0,0,0.032586802855916266
1.342,0,0,0.03254886366912875
1.344,0,0,0.032509458655381254
1.346,0,0,0.03246858691346014
1.348,0,0,0.032426247576202674
1.35,0,0,0.03238243981016479
1.352,0,0,0.032337162815307685
1.354,0,0,0.03229041582469888
1.356,0,0,0.03224219810423422
1.358,0,0,0.03219250895237374
1.36,0,0,0.032141347699898994
1.362,0,0,0.032088713709683823
1.364,0,0,0.032034606376486995
